image,meanB,meanG,meanR,modeB,modeG,modeR
1.0-5_batch2.jpg,0.275568,61.459968, 88.878912, 0, 63,91
0.25-4_batch3.jpg,25.792928,86.659648, 92.032368, 26, 88,93
1.25-3_batch1.jpg,0.29568,57.996816, 87.425888, 0, 59,92
0.75-7_batch2.jpg,0.353024,66.641712, 91.000688, 0, 68,91
2.0-7_batch2.jpg,0.330208,49.41224, 88.234016, 0, 50,91
0.5-3_batch2.jpg,1.09016,73.514848, 92.968432, 0, 75,93
1.5-6_batch3.jpg,0.374992,55.061888, 88.853648, 0, 56,88
1.0-8_batch1.jpg,0.312144,60.416656, 86.382464, 0, 62,87
1.5-6_batch2.jpg,0.27688,52.385984, 85.836144, 0, 53,86
0.5-3_batch3.jpg,0.450016,71.751504, 91.3212, 0, 73,92
2.0-7_batch3.jpg,0.207104,49.394176, 86.168016, 0, 50,87
0.25-9_batch1.jpg,23.951008,84.453728, 89.955584, 25, 87,93
0.75-7_batch3.jpg,0.35072,64.93528, 88.92984, 0, 68,91
0.25-4_batch2.jpg,19.496496,79.271824, 86.242512, 20, 79,87
1.0-5_batch3.jpg,0.223904,63.219008, 93.825776, 0, 65,94
1.0-5_batch1.jpg,0.38464,60.214912, 86.578576, 0, 62,90
0.75-7_batch1.jpg,0.413648,63.353312, 85.407296, 0, 64,86
1.25-3_batch2.jpg,0.288144,59.055984, 89.57736, 0, 61,92
0.25-9_batch3.jpg,22.361584,83.176496, 88.756624, 23, 85,90
2.0-7_batch1.jpg,0.359168,47.317056, 82.309984, 0, 47,84
0.5-3_batch1.jpg,1.198224,73.25616, 92.25744, 0, 75,94
1.0-8_batch2.jpg,0.287424,61.315856, 88.030608, 0, 62,90
1.0-8_batch3.jpg,0.294784,64.1336, 94.840272, 0, 65,94
1.5-6_batch1.jpg,0.349664,54.65552, 87.361776, 0, 56,91
0.25-9_batch2.jpg,20.560496,79.562944, 86.072912, 22, 81,88
1.25-3_batch3.jpg,0.35368,56.492976, 86.004112, 0, 57,87
0.25-4_batch1.jpg,26.244384,86.74136, 92.2684, 27, 89,94
2.0-2_batch1.jpg,0.327856,47.783056, 82.800656, 0, 48,84
1.25-6_batch2.jpg,0.324064,59.86784, 90.61504, 0, 61,92
0.75-2_batch1.jpg,0.385664,63.598192, 85.4064, 0, 64,86
0.5-6_batch1.jpg,1.208608,73.69568, 92.99512, 1, 76,98
1.75-5_batch3.jpg,0.26072,53.042752, 90.327792, 0, 52,89
1.75-5_batch2.jpg,0.2736,52.119616, 88.211536, 0, 52,86
0.25-1_batch1.jpg,24.389104,84.205184, 89.665696, 26, 87,92
1.5-3_batch1.jpg,0.322512,54.665808, 87.268912, 0, 55,89
1.25-6_batch3.jpg,0.371984,56.380768, 85.400672, 0, 57,86
1.75-8_batch1.jpg,0.317632,53.493104, 89.349968, 0, 54,91
2.0-2_batch2.jpg,0.278864,49.538624, 88.794032, 0, 50,91
0.75-2_batch2.jpg,0.344592,66.037072, 90.702288, 0, 68,94
1.75-8_batch3.jpg,0.232704,52.609344, 90.046208, 0, 52,91
1.25-6_batch1.jpg,0.301696,57.202192, 86.374, 0, 59,89
1.5-3_batch3.jpg,0.39296,55.499424, 90.509072, 0, 57,91
0.5-6_batch2.jpg,2.0116,73.828944, 92.713456, 2, 76,95
0.25-1_batch3.jpg,24.742016,85.743936, 91.059248, 26, 89,93
0.25-1_batch2.jpg,22.593376,79.228528, 85.94024, 24, 79,88
1.75-5_batch1.jpg,0.257824,53.05264, 89.28056, 0, 53,91
0.5-6_batch3.jpg,0.590016,71.909104, 91.74776, 0, 74,92
1.5-3_batch2.jpg,0.327232,50.673712, 82.992, 0, 52,86
1.75-8_batch2.jpg,0.208304,51.89344, 88.22848, 0, 53,89
0.75-2_batch3.jpg,0.334464,65.174496, 89.31088, 0, 67,91
2.0-2_batch3.jpg,0.257536,50.362112, 88.041984, 0, 50,87
1.5-4_batch2.jpg,0.311168,51.570592, 83.8932, 0, 53,84
0.5-1_batch3.jpg,1.208112,71.534912, 90.724048, 0, 75,93
2.0-5_batch3.jpg,0.26112,49.536832, 86.297408, 0, 50,87
0.75-5_batch3.jpg,0.37584,65.575504, 89.981648, 0, 67,91
