R,G,B
83,76,19
82,75,18
81,74,17
81,74,17
82,75,18
82,75,18
82,75,18
81,74,17
79,72,15
80,73,16
82,75,18
83,76,19
82,75,18
82,75,18
82,75,18
84,77,20
83,76,19
83,76,19
84,77,20
84,77,20
85,78,21
86,79,22
87,80,23
87,80,23
86,80,21
86,80,21
86,80,21
86,80,21
86,80,21
87,81,22
87,81,22
88,82,23
86,80,21
87,81,22
87,81,22
88,82,23
88,81,24
88,81,24
88,81,24
88,81,24
87,80,23
87,80,23
87,80,23
87,80,23
87,81,22
87,81,22
87,81,22
87,81,22
89,83,24
88,82,23
88,82,23
88,82,23
88,82,23
87,81,22
87,81,22
87,81,22
86,80,21
86,80,21
85,79,20
85,79,20
86,80,21
88,82,23
88,82,23
87,81,22
86,80,21
86,80,21
86,80,21
86,80,21
86,80,21
87,81,22
87,81,22
87,81,22
87,81,22
87,81,22
87,81,22
87,81,22
86,80,21
86,80,21
86,80,21
86,80,21
87,81,22
87,81,22
88,82,23
89,83,24
88,82,23
87,81,22
87,81,22
87,81,22
87,81,22
88,82,23
88,82,23
87,81,22
86,80,21
86,80,21
87,81,22
88,82,23
89,83,24
87,81,22
86,80,21
87,81,22
88,82,23
88,82,23
88,82,23
88,82,23
86,80,21
87,81,22
88,82,23
89,83,24
89,83,24
89,83,24
88,82,23
87,81,22
89,83,24
89,83,24
88,82,23
87,81,22
87,81,22
88,82,23
88,82,23
89,83,24
90,84,25
90,84,25
89,83,24
87,81,22
87,81,22
88,82,23
89,83,24
88,82,23
87,81,22
87,81,22
87,81,22
87,81,22
88,82,23
89,83,24
89,83,24
88,82,23
86,81,20
88,83,22
90,85,24
90,85,24
89,84,23
88,83,22
89,84,23
91,86,25
88,83,22
89,84,23
89,84,23
87,82,21
87,82,21
89,84,23
91,86,25
91,86,25
90,85,24
89,84,23
87,82,21
87,82,21
87,82,21
89,84,23
90,85,24
89,84,23
90,82,22
91,83,23
91,83,23
90,82,22
87,82,21
88,83,22
89,84,23
89,84,23
90,85,24
89,84,23
88,83,22
87,82,21
87,82,21
87,82,21
87,82,21
86,81,20
88,83,22
88,83,22
88,83,22
88,83,22
89,84,23
89,84,23
89,84,23
89,84,23
89,84,23
89,84,23
89,84,23
