image,concentration
0.0-1,0
0.0-2,0
0.0-3,0
0.0-4,0
0.0-5,0
0.0-6,0
0.0-7,0
0.5-1,0.10331
0.5-2,0.10331
0.5-3,0.10331
0.5-4,0.10331
0.5-5,0.10331
0.5-6,0.10331
0.5-7,0.10331
1.0-1,0.20662
1.0-2,0.20662
1.0-3,0.20662
1.0-4,0.20662
1.0-5,0.20662
1.0-6,0.20662
1.0-7,0.20662
1.0-8,0.20662
2.0-1,0.41323
2.0-2,0.41323
2.0-3,0.41323
2.0-4,0.41323
2.0-5,0.41323
2.0-6,0.41323
2.0-7,0.41323
2.5-1,0.51654
2.5-2,0.51654
2.5-3,0.51654
2.5-4,0.51654
2.5-5,0.51654
2.5-6,0.51654
2.5-7,0.51654
5.0-1,1.03308
5.0-2,1.03308
5.0-3,1.03308
5.0-4,1.03308
5.0-5,1.03308
5.0-6,1.03308
5.0-7,1.03308
8.0-1,1.65293
8.0-2,1.65293
8.0-3,1.65293
8.0-4,1.65293
8.0-5,1.65293
8.0-6,1.65293
8.0-7,1.65293
10.0-1,2.06617
10.0-2,2.06617
10.0-3,2.06617
10.0-4,2.06617
10.0-5,2.06617
10.0-6,2.06617
15.0-1,3.09925
15.0-2,3.09925
15.0-3,3.09925
15.0-4,3.09925
15.0-5,3.09925
15.0-6,3.09925
15.0-7,3.09925
20.0-1,4.13233
20.0-2,4.13233
20.0-3,4.13233
20.0-4,4.13233
20.0-5,4.13233
20.0-6,4.13233
25.0-1,5.16542
25.0-2,5.16542
25.0-3,5.16542
25.0-4,5.16542
25.0-5,5.16542
25.0-6,5.16542
25.0-7,5.16542
30.0-1,6.1985
30.0-2,6.1985
30.0-3,6.1985
30.0-4,6.1985
30.0-5,6.1985
30.0-6,6.1985
30.0-7,6.1985
40.0-1,8.26467
40.0-2,8.26467
40.0-3,8.26467
40.0-4,8.26467
40.0-5,8.26467
40.0-6,8.26467
40.0-7,8.26467
50.0-1,10.33083
50.0-2,10.33083
50.0-3,10.33083
50.0-4,10.33083
50.0-5,10.33083
50.0-6,10.33083
50.0-7,10.33083
