image,meanB,meanG,meanR,modeB,modeG,modeR
0.25-1_batch1.jpg,24.805216,85.199184, 90.562752, 26, 87,92
0.25-1_batch2.jpg,22.939616,80.481088, 87.192176, 24, 81,88
0.75-8_batch1.jpg,0.47496,66.653968, 90.133664, 0, 68,91
0.25-5_batch1.jpg,24.913632,86.507184, 91.546112, 25, 88,93
0.5-9_batch2.jpg,1.701136,75.128656, 94.350384, 0, 76,97
0.5-9_batch1.jpg,1.495408,75.191728, 94.71648, 0, 77,97
0.5-6_batch3.jpg,0.53656,73.949664, 94.26832, 0, 75,97
0.25-4_batch3.jpg,25.83824,86.766304, 92.138128, 26, 88,93
0.75-3_batch2.jpg,0.33664,68.335104, 93.503376, 0, 69,95
0.25-10_batch2.jpg,22.182368,80.266416, 86.998704, 23, 82,87
1.0-10_batch3.jpg,0.261648,64.954992, 96.180976, 0, 65,97
1.0-2_batch3.jpg,0.273488,64.958336, 96.201184, 0, 65,97
0.25-5_batch3.jpg,25.403792,86.17072, 91.741952, 26, 88,93
0.25-2_batch3.jpg,23.87088,85.73136, 91.28672, 25, 87,93
0.25-8_batch1.jpg,26.901088,87.216624, 92.8244, 28, 89,94
0.25-7_batch2.jpg,21.760768,79.963904, 86.602688, 23, 81,87
1.0-10_batch2.jpg,0.261152,63.30352, 91.525936, 0, 64,92
0.5-9_batch3.jpg,0.538224,73.800688, 93.405568, 0, 75,97
1.0-5_batch3.jpg,0.232272,64.251376, 95.074624, 0, 65,94
1.0-1_batch3.jpg,0.31752,64.927632, 95.524528, 0, 66,96
0.75-1_batch1.jpg,0.464288,66.626304, 90.047536, 0, 67,91
0.75-6_batch3.jpg,0.353472,67.478, 92.195488, 0, 68,94
1.0-1_batch2.jpg,0.255872,63.499232, 91.638064, 0, 64,92
0.25-10_batch1.jpg,25.885888,86.891328, 92.068016, 26, 89,94
0.5-10_batch3.jpg,0.337264,73.474464, 93.611136, 0, 73,97
0.25-4_batch2.jpg,20.478016,80.71064, 87.656256, 21, 81,89
0.5-8_batch1.jpg,0.931664,74.740656, 94.265648, 0, 77,97
0.75-1_batch2.jpg,0.306576,68.529392, 93.520656, 0, 69,95
0.75-9_batch2.jpg,0.312656,67.638416, 92.859616, 0, 69,95
1.0-6_batch1.jpg,0.262336,62.463152, 89.202736, 0, 62,90
0.75-10_batch3.jpg,0.347824,67.419728, 92.111424, 0, 69,91
0.25-7_batch1.jpg,23.837776,84.993872, 90.5532, 24, 87,92
0.75-9_batch1.jpg,0.479456,66.544144, 90.062288, 0, 68,91
0.25-9_batch3.jpg,23.111936,84.788864, 90.474064, 23, 86,92
1.0-4_batch1.jpg,0.38432,60.822608, 88.088432, 0, 62,90
0.75-10_batch1.jpg,0.49968,67.407344, 90.8324, 0, 68,91
0.5-1_batch3.jpg,1.034144,73.380688, 93.309104, 0, 75,96
0.5-10_batch1.jpg,1.121232,75.688272, 95.152048, 0, 77,97
1.0-10_batch1.jpg,0.314096,61.82008, 88.850784, 0, 62,91
1.0-4_batch2.jpg,0.27752,63.289632, 91.360928, 0, 64,92
0.5-3_batch3.jpg,0.459232,72.106928, 91.76032, 0, 73,92
0.25-9_batch2.jpg,21.312064,81.114048, 87.586608, 22, 81,88
0.25-7_batch3.jpg,23.087872,84.7356, 90.727568, 24, 86,92
0.5-7_batch2.jpg,1.64568,74.679936, 94.24584, 0, 76,95
0.5-3_batch2.jpg,0.848736,74.893312, 94.751776, 0, 77,97
0.75-4_batch3.jpg,0.359872,67.166976, 91.874064, 0, 69,94
0.75-5_batch2.jpg,0.318176,68.449456, 93.642288, 0, 69,95
1.0-2_batch1.jpg,0.337392,60.26224, 86.611408, 0, 62,87
0.75-9_batch3.jpg,0.379056,67.674064, 92.31072, 0, 69,94
1.0-3_batch3.jpg,0.25736,64.777248, 95.984656, 0, 65,97
0.5-1_batch1.jpg,0.839392,74.00224, 92.941216, 0, 75,94
0.5-10_batch2.jpg,1.61528,75.071088, 94.409568, 0, 77,95
1.0-1_batch1.jpg,0.238848,60.786208, 86.959936, 0, 62,87
0.75-3_batch1.jpg,0.5068,66.760496, 90.352208, 0, 68,91
0.5-3_batch1.jpg,1.150416,73.866544, 92.995984, 0, 75,94
1.0-3_batch2.jpg,0.268848,63.383248, 91.632912, 0, 64,91
1.0-2_batch2.jpg,0.31808,63.627824, 92.187888, 0, 65,92
0.75-8_batch3.jpg,0.292288,67.084304, 92.103056, 0, 69,95
0.5-8_batch2.jpg,1.339744,74.727424, 94.332016, 0, 77,97
0.75-2_batch2.jpg,0.351232,67.643792, 93.19144, 0, 68,95
